timestamp,satellite,azimuth_deg,elevation_deg,distance_km,relative_velocity_kms,doppler_shift_hz,tx_freq_ghz,rx_freq_hz,ue_lat,ue_lon,ue_alt_m,time_minutes
2026-01-20T23:00:36+00:00,SAT-65283,292.97217976106714,32.42111885703228,4045.2764161234863,-0.7927934621618279,27766.980557927152,10.5,10500027766.980558,47.655,-122.3035,60.0,0.6
2026-01-20T23:00:37+00:00,SAT-65283,292.8411362139615,32.43383288788256,4044.485736777224,-0.7810226361029783,27354.716438801377,10.5,10500027354.716438,47.655,-122.3035,60.0,0.6166666666666667
2026-01-20T23:00:38+00:00,SAT-65283,292.70999653559323,32.446309931203416,4043.70679686815,-0.7692440036944661,26942.178908289592,10.5,10500026942.178907,47.655,-122.3035,60.0,0.6333333333333333
2026-01-20T23:00:39+00:00,SAT-65283,292.5787622748841,32.458549565727644,4042.939604181799,-0.757457679146487,26529.37196651596,10.5,10500026529.371967,47.655,-122.3035,60.0,0.65
2026-01-20T23:00:40+00:00,SAT-65283,292.447434987012,32.47055137679948,4042.1841663897967,-0.7456637721806397,26116.299456394987,10.5,10500026116.299456,47.655,-122.3035,60.0,0.6666666666666666
2026-01-20T23:00:41+00:00,SAT-65283,292.31601623413667,32.482314956337945,4041.440491054342,-0.7338623964389303,25702.965358150428,10.5,10500025702.965359,47.655,-122.3035,60.0,0.6833333333333333
2026-01-20T23:00:42+00:00,SAT-65283,292.18450758470317,32.49383990293743,4040.7085856242934,-0.7220536666128381,25289.373688763048,10.5,10500025289.37369,47.655,-122.3035,60.0,0.7
2026-01-20T23:00:43+00:00,SAT-65283,292.05291061321,32.50512582191783,4039.988457434125,-0.7102376969166252,24875.528448499408,10.5,10500024875.528448,47.655,-122.3035,60.0,0.7166666666666667
2026-01-20T23:00:44+00:00,SAT-65283,291.9212269002407,32.51617232535259,4039.2801137044003,-0.6984145985487763,24461.433532000832,10.5,10500024461.433533,47.655,-122.3035,60.0,0.7333333333333333
2026-01-20T23:00:45+00:00,SAT-65283,291.7894580329791,32.52697903205556,4038.5835615447804,-0.6865844875810965,24047.093004592905,10.5,10500024047.093004,47.655,-122.3035,60.0,0.75
2026-01-20T23:00:46+00:00,SAT-65283,291.6576056042789,32.53754556769174,4037.898807949167,-0.6747474797652118,23632.51092038721,10.5,10500023632.51092,47.655,-122.3035,60.0,0.7666666666666667
2026-01-20T23:00:47+00:00,SAT-65283,291.5256712126609,32.54787156480505,4037.225859796014,-0.6629036889220215,23217.69126587309,10.5,10500023217.691265,47.655,-122.3035,60.0,0.7833333333333333
